id,total_errors
49476117,0
60073855,0
51529710,10
58267054,0
49182590,1
55201230,1
49296723,0
52541636,0
56596747,3
44823064,1
57718166,1
45891317,0
47102269,0
47902405,0
53947167,0
54840803,0
47321799,0
59715382,0
60409561,2
58324518,0
60766978,15
57034584,7
58528461,2
56452640,1
58583899,7
56189804,1
58148750,1
53989520,0
58636863,3
47825600,0
60575659,0
55127541,0
52353528,0
52540788,0
44564836,0
55358582,0
50779679,3
57993350,1
52774588,2
52774588,2
49752323,0
57272465,1
46395659,0
51529528,1
51529528,1
51529528,7
61314478,2
61980101,0
60550291,0
61204812,0
61356531,9
61356531,8
61429302,0
61590271,0
61555293,1
55606607,4
57948870,3
49124372,0
60842920,0
61024674,2
61024674,4
59852414,0
60563129,0
61199548,1
56474626,0
57985251,0
60574699,4
61397444,0
61487173,1
61511216,1
60921827,1
56357566,13
59580856,0
55237535,0
56171592,0
59152093,0
61692384,3
57744333,1
58354000,0
56319290,1
60281376,0
50727681,0
53233325,0
53920392,2
54436668,2
40563870,0
55768947,10
56480520,0
56021473,1
45622142,2
58482407,0
58482407,1
44672217,0
56774602,0
48243711,0
58129828,0
44241323,0
53170648,0
57015559,0
39900723,1
50073307,19
44196640,0
47846653,4
49519739,1
57318179,0
47717542,0
47717542,0
39191785,0
49301680,0
44124825,4
57535917,0
57535917,4
49152058,10
54263514,1
40149675,0
52796402,2
62038896,0
44260597,1
44266010,1
60913601,2
61835410,11
61728658,0
45609098,0
62075246,1
61712411,1
53172821,0
50291018,1
51979804,0
47322694,0
60026073,1
46981406,2
61150627,2
52729783,0
61999681,0
58600021,11
60750306,1
61968050,0
61560923,0
53521240,2
61025147,3
61025147,4
61025147,4
61331109,5
56946081,2
56968238,0
61479801,0
61647276,0
48158291,6
61195386,4
61424514,1
59056049,5
59056049,6
60843303,0
57956063,2
59190647,2
56896944,0
35843266,3
61471696,6
60867626,1
56403186,0
49588118,0
53546381,7
53546381,10
53546381,8
53546381,10
36496477,0
59919644,0
49168027,0
53364796,32
58745330,0
55606278,4
45512852,1
51201189,10
45574008,4
58692698,0
62071889,0
59910894,1
60473476,6
46024775,0
41620937,0
61784749,0
49235095,0
49235095,0
49966539,0
49966539,1
61460513,2
61193288,1
21940117,3
48558252,2
61839800,1
61514682,2
61756574,0
58842952,0
55604135,1
58595496,1
57864279,1
60247418,0
59457505,1
59457505,0
59457505,0
53271952,0
49984071,0
51776111,0
51870221,6
48835652,2
58531157,0
58531157,1
52667972,0
57498500,0
60273718,7
60195112,0
52580173,0
44082381,14
58406051,6
55349254,0
52202810,0
52202810,0
46748193,0
61564834,4
59667925,0
55199891,1
56481004,0
55124478,0
55038082,0
55038082,0
52827496,0
52827496,1
55500111,0
44172889,3
57919317,0
52606043,0
55864009,0
55904099,1
52047687,2
58884152,0
52373783,9
58238675,0
59906140,1
59906140,1
56825297,0
57943658,2
60403686,3
46603826,0
59108030,18
47604276,0
52906363,3
61009408,0
60766311,13
57196948,0
49173000,0
56056618,1
59137981,0
51342877,0
46512200,0
60443078,3
57258197,0
57258197,0
58805372,2
53033094,3
44350499,0
48693038,0
59641238,0
61406005,0
61406005,0
56332469,5
47239426,0
58387435,0
60360440,0
40392242,1
57303806,2
28264083,6
53390285,0
60466936,4
52212999,0
57707730,0
58617485,0
49595808,0
58863665,1
56344133,1
55165432,0
56673085,0
44681785,0
46670982,0
41614490,1
41614490,1
59808035,0
59639647,0
58449354,0
52513473,4
57464016,1
57464016,1
59695618,0
49109324,0
49109324,0
51865277,0
60176731,1
52184029,1
50916988,4
56450383,0
59650925,0
61998996,0
56998477,0
59505397,0
52307142,1
49391196,0
60257515,0
54562713,2
57118632,0
48124944,0
49596922,21
57825700,3
43847427,0
58084922,0
57232399,0
54299550,0
51586423,32
51951848,1
50467410,0
56347516,0
44847230,4
58616712,0
51074953,1
45692122,0
56613415,0
53582212,1
49958189,0
46561324,0
59529959,0
53709207,0
58786432,0
48502636,0
48830820,0
47654537,4
59660809,0
60080471,6
56790562,5
48382270,0
51697533,2
52204919,0
53913271,0
52431198,13
56839924,1
55531464,1
45377382,0
57467740,0
53146736,0
49237928,0
57751083,0
57751083,0
53926190,3
52465473,1
44132624,0
57508023,0
43009838,1
47959802,0
54583304,18
52781064,0
57093311,1
57093311,1
44352060,0
45272019,3
52525649,12
44634016,0
50951111,1
57209125,0
57520669,0
37533768,0
50755616,0
47086319,9
36438810,2
36438810,2
44711968,0
25966353,0
42132428,0
42132428,0
57755750,0
52940272,0
20822053,7
46170543,0
60798514,0
48825743,1
59365267,0
39558253,0
34770220,0
58146800,0
58146800,0
58146800,0
57607720,0
53583652,0
34342741,0
56904057,0
56701033,4
48923556,0
48923556,0
55930275,1
53182554,7
40642435,1
47857832,0
45059018,0
53372460,0
50603424,0
33969442,0
54580652,21
56149667,9
56149667,9
48175768,3
52657510,0
48370552,0
47031932,0
35751356,1
54709311,0
40971614,3
35541641,0
56890630,0
42386765,1
52712596,1
44350146,4
48382101,3
53351396,2
56722551,0
44852032,1
44294970,1
44294970,1
56255964,12
33604619,3
33604619,2
51916003,0
55394552,0
54992024,2
52617563,0
36226278,1
50810964,2
53147358,0
43766441,1
54227107,0
44809630,0
54414769,0
54486087,13
54486087,15
47903589,0
45782409,1
53508161,0
44481924,1
45931727,1
42001355,2
55311103,0
48198667,0
34037017,0
59767813,0
46464954,1
45492080,4
48355559,5
48355559,1
48291736,0
48794879,0
46630401,0
46630401,0
47547505,7
52963339,3
47566428,0
44357750,0
34119140,0
50850253,0
37553484,0
55551255,1
55551255,2
42801780,3
52512458,0
52512458,0
43217825,0
49735604,0
50089249,6
52192231,6
47561627,0
56089071,0
55966327,2
36099066,4
36099066,45
44600926,10
44600926,11
47766179,0
45448184,0
57636064,2
53363732,0
57465460,0
33387657,1
54965849,1
50709495,0
57022019,3
57022019,9
48327734,4
38515318,0
44750407,0
50667221,0
50251297,0
54045644,0
54045644,0
54045644,0
54045644,0
54045644,0
54045644,0
54045644,0
54045644,0
54045644,0
51083446,0
55084992,0
55084992,13
59832052,0
52573605,1
49895169,0
60267758,0
58830112,0
61545302,0
57989947,4
52621298,0
61211530,4
61925166,0
61660410,10
35581867,1
59140941,8
46031921,2
61700752,0
60518546,3
52709120,0
60399702,9
47958732,2
55091097,1
61722911,0
61722911,0
47199023,0
50768832,1
59822125,0
61023358,1
61023358,0
60003504,0
60651890,0
59067172,1
59067172,0
53698928,4
33715270,0
61039170,0
56242699,0
47827229,0
49175608,0
61948454,0
55080998,3
51214561,2
50704890,2
51470386,0
59478223,1
55337961,0
55337961,1
61121051,0
61310030,1
59213193,7
49209534,1
54788141,0
55138242,0
60315957,1
51713278,0
53983049,1
54671346,0
47014019,0
44443994,9
56948371,0
52768998,5
60137697,0
45195566,9
45250359,0
51119272,1
55665324,2
55665324,0
61356749,0
52643716,0
34164058,4
59191087,2
53862838,1
31198230,4
31198230,0
50101852,2
54695301,9
52035986,0
44009515,0
48857526,0
57944453,0
56252911,17
54263432,7
46837176,0
47276544,0
44642823,0
39798269,0
49272500,0
44098445,0
49740773,0
53739245,2
54798285,0
56803193,0
61595967,0
44395147,4
45056702,0
53007055,0
52196187,0
49852565,8
44290467,1
53151864,0
59694022,0
46504355,0
53179841,6
59436139,6
59436139,6
48631992,12
46874406,10
31570605,0
34862949,2
57920850,0
38426579,0
59052940,2
60715041,0
53277906,1
57810459,0
54336836,5
50810360,2
35037170,3
53238495,0
50064024,3
49442458,4
54475921,0
49008821,9
35736960,0
34228786,1
34228786,1
47074091,1
58195069,0
46728647,0
40785564,1
46896136,0
59394115,0
43363161,0
46238953,10
52356548,0
55623292,0
41289501,2
55405905,1
59822713,0
54138204,0
49416321,4
56921833,0
47187808,4
46157815,0
39564198,1
33688821,0
42613323,1
55885474,3
56023622,0
54370415,35
53765396,0
50222139,0
47498258,26
58820520,2
58820520,2
51192680,0
49212986,4
45481449,2
38143129,0
38143129,1
38143129,1
38143129,1
46270191,0
54601063,0
59266719,0
29732137,1
29732137,1
56021390,10
56196615,0
45747112,0
36825297,3
45971583,0
45194148,4
49000960,8
35817261,1
47536474,1
44231619,0
44231619,1
37609071,0
54327143,4
48246017,0
48246017,0
44715920,0
47738436,1
48201971,0
54837419,0
61301146,0
61707922,0
55623857,0
55085832,3
61861183,1
56780110,0
50210260,0
51021018,0
54917173,1
44456977,0
53405872,10
53405872,10
45979777,0
60143604,1
61556631,0
54989976,0
60786688,3
33738304,0
59332292,1
44185230,0
58333039,3
54155416,4
52369508,0
52711363,8
44823188,0
44880442,0
49199281,0
52631827,0
58803448,0
55347302,0
35714683,4
52178979,0
34255329,1
34255329,2
53975552,0
36068033,17
57671050,1
59424513,1
51170152,24
45783938,0
44549644,0
49680040,0
56171739,14
52052921,1
52344672,1
58479824,0
57906697,0
51105840,0
51050050,4
43958725,1
48965681,0
44300416,4
45710060,1
56234693,0
54325243,1
46136136,0
45244010,12
47810973,0
57933639,0
44947279,0
44947279,0
50716294,0
45844030,0
48435159,6
49056544,10
44266042,0
48664024,0
48664024,0
50465292,2
46099618,11
39576170,0
53222045,0
53222045,0
50772230,2
38423531,2
45836253,0
45836253,0
49226137,4
57296152,0
53535977,0
41283393,0
47884934,0
51057679,0
41861449,9
9355690,1
50080210,5
50477892,0
45873205,0
50570262,0
45194446,0
40506227,0
26469365,0
30824479,0
30824479,0
31712046,1
